------------------------------------------------------------------------------------
log file for recomend system \\ script made by Dmitry Chapliuk 
[2014-03-13 19:01:54] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IHJ0011 Client_ID: null
[2014-03-13 19:01:54] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IHJ0012 Client_ID: null
[2014-03-13 19:01:54] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): IGK0007 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGS0007 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGS0008 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGS0040 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): IGS0046 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): IGS0047 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): IGS0048 Client_ID: null
[2014-03-13 19:01:55] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): spraybinz Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): Cooltec20 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): br70s-08-15 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): brs308LSi0815 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): barsprut165 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): barsprut205 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): barsprut245 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER316LSi20 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER04316-5 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER04320 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER04332 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535616 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535620 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): ER535632 Client_ID: null
[2014-03-13 19:01:56] ACTION:buy status:buy-ok * request from_ip:[88.198.62.162] SKU(itemid): 823226 Client_ID: null
[2014-03-13 19:01:57] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 803156 Client_ID: null
[2014-03-13 19:01:57] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 803152 Client_ID: null
[2014-03-13 19:01:57] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): 803153 Client_ID: null
[2014-03-13 19:01:57] ACTION:buy status:error * request from_ip:[88.198.62.162] SKU(itemid): brgass30m Client_ID: null
